K,reconstruction_rmse,dominant_silhouette
3,0.6681826411881222,0.20770616310214604
4,0.5977667783907386,0.1819000326843836
5,0.529328719251306,0.22412245484031615
6,0.3392412018977377,0.19984121614447523
7,0.3168206130645552,0.19819234508146188
