archetype_id,sdi_context,household_energy_context,ambient_pm25_context,thermal_climate_context,wetness_precipitation_context,label,exemplar_country,exemplar_year
D1,-1.8831949072583969,1.387056945024167,-0.14038853947416544,0.5202781426325319,1.6814888541398054,Low-SDI household-energy domain,Liberia,1996.0
D2,-2.38419250296245,1.3650633018305534,2.061155804387403,1.4522750518913445,-1.8794149836452212,Low-SDI high-PM dry domain,Niger,2007.0
D3,0.013186320355533054,0.5895428816796053,1.333926493577084,-3.0284264780852284,-1.574827588773652,Cold-dry PM2.5 domain,Mongolia,2007.0
D4,1.4599959551142292,-0.6526051528170773,2.580497636850155,1.1865826677593725,-1.2568983135376792,Hot-dry PM2.5 domain,Qatar,2023.0
D5,0.9902138499081193,-1.7259896520565337,-0.30764970781096107,1.0978297225248979,1.956092380649535,Warm-humid climate domain,Malaysia,2023.0
D6,0.9423350064809843,-0.6526051528170773,-3.1834245899453113,-3.975586831774723,-0.752623087519038,High-SDI low-exposure domain,Greenland,1992.0
