analysis,variant,outcome,outcome_label,pathway,pathway_label,beta_log_rate,percent_difference_per_1sd,ci_low_percent,ci_high_percent,p_value,n,n_countries,r2
pathway_model_variant,primary_sdi_spline_year_fe_cluster,u5,Under-5,household_disadvantage,Household disadvantage,0.34558181430064006,41.28116746264938,8.36537943882032,84.19506656992948,0.010661275414855929,6902,203,0.777497592702196
pathway_model_variant,primary_sdi_spline_year_fe_cluster,u5,Under-5,ambient_pollution,Ambient pollution,0.05846524996186304,6.02081427810599,-1.0703403362418151,13.62025401074385,0.09786537981371456,6902,203,0.777497592702196
pathway_model_variant,primary_sdi_spline_year_fe_cluster,u5,Under-5,thermal_context,Thermal context,0.189585142214608,20.874803509294203,11.822922062491426,30.659419857096815,1.8085839925343716e-06,6902,203,0.777497592702196
pathway_model_variant,primary_sdi_spline_year_fe_cluster,u5,Under-5,wetness_context,Wetness context,-0.07812216541875566,-7.51485652209799,-13.990748883626768,-0.5513749613403451,0.03492359042716121,6902,203,0.777497592702196
pathway_model_variant,population_weighted_primary,u5,Under-5,household_disadvantage,Household disadvantage,0.25318181429687425,28.811745371477148,-32.254124995966805,144.92215569816534,0.43997713262061133,6902,203,0.8349670470605328
pathway_model_variant,population_weighted_primary,u5,Under-5,ambient_pollution,Ambient pollution,0.1471266866466806,15.850072030499796,3.8363626785815397,29.253749296058572,0.008440596863283337,6902,203,0.8349670470605328
pathway_model_variant,population_weighted_primary,u5,Under-5,thermal_context,Thermal context,0.025485428382004016,2.5812958406972175,-8.656547538918847,15.201713673349104,0.6668317585732026,6902,203,0.8349670470605328
pathway_model_variant,population_weighted_primary,u5,Under-5,wetness_context,Wetness context,0.03922656920223186,4.000609030874114,-4.631085868728658,13.413545465189891,0.3748964530794099,6902,203,0.8349670470605328
pathway_model_variant,within_country_fe_year_fe,u5,Under-5,household_disadvantage,Household disadvantage,0.2636566723388337,30.168121640739077,19.672919573052795,41.583743021621174,7.888487787891395e-10,6902,203,0.9834613736972366
pathway_model_variant,within_country_fe_year_fe,u5,Under-5,ambient_pollution,Ambient pollution,-0.0890673725410507,-8.521605982028612,-15.083412623177894,-1.4527452101620764,0.01901158742533686,6902,203,0.9834613736972366
pathway_model_variant,within_country_fe_year_fe,u5,Under-5,thermal_context,Thermal context,-0.07314695037192993,-7.0535765125326,-18.00182103682465,5.356457281707994,0.2526493838083391,6902,203,0.9834613736972366
pathway_model_variant,within_country_fe_year_fe,u5,Under-5,wetness_context,Wetness context,-0.03486241405550297,-3.4261720869403933,-9.680573428660487,3.2613313860516913,0.30748223265223884,6902,203,0.9834613736972366
pathway_model_variant,primary_sdi_spline_year_fe_cluster,all_age,All ages,household_disadvantage,Household disadvantage,-0.02901597215425411,-2.859905102310234,-19.431983190374524,17.12089251283182,0.761102176669669,6902,203,0.7472769177212971
pathway_model_variant,primary_sdi_spline_year_fe_cluster,all_age,All ages,ambient_pollution,Ambient pollution,-0.04363369142954143,-4.269543787997354,-9.150564528364658,0.8737170350321399,0.10222481925200477,6902,203,0.7472769177212971
pathway_model_variant,primary_sdi_spline_year_fe_cluster,all_age,All ages,thermal_context,Thermal context,0.17131959499691665,18.68700061300961,12.505136086733959,25.208542511807707,3.4442968803107846e-10,6902,203,0.7472769177212971
pathway_model_variant,primary_sdi_spline_year_fe_cluster,all_age,All ages,wetness_context,Wetness context,-0.08566445079853532,-8.20978191050502,-13.825351228233462,-2.228274126978669,0.007823537067408117,6902,203,0.7472769177212971
pathway_model_variant,population_weighted_primary,all_age,All ages,household_disadvantage,Household disadvantage,0.013874521239258857,1.3971219103710686,-41.96630786566531,77.16219584836375,0.961132753609447,6902,203,0.7364879725628419
pathway_model_variant,population_weighted_primary,all_age,All ages,ambient_pollution,Ambient pollution,0.004637110189189513,0.46478782223946524,-11.471602597183029,14.010576134595553,0.9427168818138992,6902,203,0.7364879725628419
pathway_model_variant,population_weighted_primary,all_age,All ages,thermal_context,Thermal context,0.17276910491913558,18.85916334368578,7.842012766277939,31.001827102198053,0.0004992107791217945,6902,203,0.7364879725628419
pathway_model_variant,population_weighted_primary,all_age,All ages,wetness_context,Wetness context,-0.05891083412580771,-5.7209169822089905,-15.033906311305302,4.612853301718989,0.2669357970914573,6902,203,0.7364879725628419
pathway_model_variant,within_country_fe_year_fe,all_age,All ages,household_disadvantage,Household disadvantage,0.11072599258154424,11.708877430384579,2.2729453924625,22.01538978730122,0.013928179794412309,6902,203,0.9713244887381876
pathway_model_variant,within_country_fe_year_fe,all_age,All ages,ambient_pollution,Ambient pollution,-0.12108792399859031,-11.404394063103885,-18.080756557287813,-4.1839125770872565,0.0024525212907755803,6902,203,0.9713244887381876
pathway_model_variant,within_country_fe_year_fe,all_age,All ages,thermal_context,Thermal context,0.006452720535757613,0.6473584188546155,-10.974298992594777,13.78613863260425,0.9179032925066299,6902,203,0.9713244887381876
pathway_model_variant,within_country_fe_year_fe,all_age,All ages,wetness_context,Wetness context,-0.04227603413830535,-4.139486369403644,-10.155427510267911,2.2792787463254305,0.2010941069212201,6902,203,0.9713244887381876
pathway_model_variant,primary_sdi_spline_year_fe_cluster,age5_69,5-69 years,household_disadvantage,Household disadvantage,-0.013225248433075102,-1.3138179095545932,-27.377580607915487,34.10407718597772,0.9326400050491667,6902,203,0.4816023180909572
pathway_model_variant,primary_sdi_spline_year_fe_cluster,age5_69,5-69 years,ambient_pollution,Ambient pollution,-0.07480837175896636,-7.207871478393157,-14.678484647619449,0.9168564342682428,0.08066422865905097,6902,203,0.4816023180909572
pathway_model_variant,primary_sdi_spline_year_fe_cluster,age5_69,5-69 years,thermal_context,Thermal context,0.18216997174541844,19.981811172787612,8.840533503298653,32.26354694288753,0.0002486399566220657,6902,203,0.4816023180909572
pathway_model_variant,primary_sdi_spline_year_fe_cluster,age5_69,5-69 years,wetness_context,Wetness context,-0.10559312825377395,-10.02093269893618,-19.111013075860626,0.09066574121285864,0.051981630080884175,6902,203,0.4816023180909572
pathway_model_variant,population_weighted_primary,age5_69,5-69 years,household_disadvantage,Household disadvantage,0.1931341050208502,21.304545809825793,-36.02097272526672,129.99400680071477,0.5540552336999642,6902,203,0.54164840998932
pathway_model_variant,population_weighted_primary,age5_69,5-69 years,ambient_pollution,Ambient pollution,0.013902009515080992,1.3999091807341602,-14.13112044883592,19.74002264388166,0.8698148623152977,6902,203,0.54164840998932
pathway_model_variant,population_weighted_primary,age5_69,5-69 years,thermal_context,Thermal context,0.1950755614685521,21.540282064213546,2.33121073089142,44.355178236831435,0.026248706543812124,6902,203,0.54164840998932
pathway_model_variant,population_weighted_primary,age5_69,5-69 years,wetness_context,Wetness context,-0.12556900211743396,-11.80050971885931,-24.14212841636445,2.5490159880940944,0.10253489220082518,6902,203,0.54164840998932
pathway_model_variant,within_country_fe_year_fe,age5_69,5-69 years,household_disadvantage,Household disadvantage,0.018972658279831894,1.9153782818922105,-4.415601975607631,8.665687549662394,0.5620360846496386,6902,203,0.9819698339536318
pathway_model_variant,within_country_fe_year_fe,age5_69,5-69 years,ambient_pollution,Ambient pollution,0.06035487986757522,6.221343782999322,-0.08178599925695584,12.922093212977416,0.0531439574137433,6902,203,0.9819698339536318
pathway_model_variant,within_country_fe_year_fe,age5_69,5-69 years,thermal_context,Thermal context,0.03694866561733947,3.763975287479182,-6.179343731832732,14.761109074801393,0.4721993411602885,6902,203,0.9819698339536318
pathway_model_variant,within_country_fe_year_fe,age5_69,5-69 years,wetness_context,Wetness context,0.017434845908625464,1.7587719987566919,-4.070819851110407,7.9426266608702,0.5624328382403994,6902,203,0.9819698339536318
pathway_model_variant,primary_sdi_spline_year_fe_cluster,age70p,70+ years,household_disadvantage,Household disadvantage,-0.31081956946920375,-26.71539082495905,-42.30911132311967,-6.9067219259047015,0.010888538072523313,6902,203,0.7115428007331716
pathway_model_variant,primary_sdi_spline_year_fe_cluster,age70p,70+ years,ambient_pollution,Ambient pollution,-0.02100236958341036,-2.0783355768804856,-9.409509081972656,5.846124314201129,0.5968244664787339,6902,203,0.7115428007331716
pathway_model_variant,primary_sdi_spline_year_fe_cluster,age70p,70+ years,thermal_context,Thermal context,0.37612685489274966,45.66319029352246,34.225472891862594,58.07554668539565,1.9721656683458152e-19,6902,203,0.7115428007331716
pathway_model_variant,primary_sdi_spline_year_fe_cluster,age70p,70+ years,wetness_context,Wetness context,-0.09887468507870545,-9.414378178817085,-17.61495783361432,-0.39751555679313766,0.04112837299630592,6902,203,0.7115428007331716
pathway_model_variant,population_weighted_primary,age70p,70+ years,household_disadvantage,Household disadvantage,-0.0888674557406352,-8.503316086021561,-52.07211602662403,74.67166236475077,0.7876438368036452,6902,203,0.7406353033364028
pathway_model_variant,population_weighted_primary,age70p,70+ years,ambient_pollution,Ambient pollution,-0.06379251405733732,-6.180035742557111,-21.47852297162648,12.09908456112223,0.4824298413980793,6902,203,0.7406353033364028
pathway_model_variant,population_weighted_primary,age70p,70+ years,thermal_context,Thermal context,0.47647041620659897,61.03803868374595,33.407878454084724,94.39069269086056,7.001858618125703e-07,6902,203,0.7406353033364028
pathway_model_variant,population_weighted_primary,age70p,70+ years,wetness_context,Wetness context,-0.18241529561892356,-16.674477869301885,-31.925310452665055,1.993012153593865,0.07695572796999305,6902,203,0.7406353033364028
pathway_model_variant,within_country_fe_year_fe,age70p,70+ years,household_disadvantage,Household disadvantage,-0.07888090446589031,-7.585001997313867,-14.977117029796293,0.44980312922950905,0.06367417579616748,6902,203,0.9805413189778731
pathway_model_variant,within_country_fe_year_fe,age70p,70+ years,ambient_pollution,Ambient pollution,0.04596326439078874,4.703594674706868,-1.759683795627287,11.59209539797208,0.15740414534720337,6902,203,0.9805413189778731
pathway_model_variant,within_country_fe_year_fe,age70p,70+ years,thermal_context,Thermal context,0.10753857934139245,11.353381931924167,-1.4452425576527594,25.814075235591783,0.08429842414265085,6902,203,0.9805413189778731
pathway_model_variant,within_country_fe_year_fe,age70p,70+ years,wetness_context,Wetness context,-0.023859245796000142,-2.357686425272132,-7.785634930158791,3.389763547193758,0.41357948160246893,6902,203,0.9805413189778731
